Timestamp,Ticker,Last Price
"2025-03-10 17:15:28,980",TSLA,218.40
"2025-03-10 17:15:28,985",COIN,179.67
"2025-03-10 17:15:29,081",QQQ,471.74
"2025-03-10 17:15:29,083",AAPL,225.89
"2025-03-10 17:15:32,533",TSLA,218.44
"2025-03-10 17:15:34,536",TSLA,218.43
"2025-03-10 17:15:35,286",TSLA,218.40
"2025-03-10 17:15:36,537",COIN,179.77
"2025-03-10 17:15:37,540",QQQ,471.65
"2025-03-10 17:15:38,040",QQQ,471.68
"2025-03-10 17:15:39,094",TSLA,218.42
"2025-03-10 17:15:45,048",QQQ,471.64
"2025-03-10 17:15:45,550",TSLA,218.35
"2025-03-10 17:15:49,304",QQQ,471.65
"2025-03-10 17:15:50,305",TSLA,218.31
"2025-03-10 17:15:53,558",TSLA,218.40
"2025-03-10 17:16:02,069",AAPL,225.86
"2025-03-10 17:16:02,319",TSLA,218.39
"2025-03-10 17:16:04,572",TSLA,218.41
"2025-03-10 17:16:05,072",TSLA,218.33
"2025-03-10 17:16:05,823",TSLA,218.39
"2025-03-10 17:16:06,324",TSLA,218.45
"2025-03-10 17:16:07,575",TSLA,218.41
"2025-03-10 17:16:08,076",TSLA,218.42
"2025-03-10 17:16:08,576",TSLA,218.44
"2025-03-10 17:16:10,579",TSLA,218.42
"2025-03-10 17:16:15,335",TSLA,218.44
"2025-03-10 17:16:15,586",QQQ,471.71
"2025-03-10 17:16:15,835",TSLA,218.40
"2025-03-10 17:16:16,337",TSLA,218.44
"2025-03-10 17:16:16,837",TSLA,218.55
"2025-03-10 17:16:17,337",TSLA,218.65
"2025-03-10 17:16:17,839",TSLA,218.50
"2025-03-10 17:16:20,591",TSLA,218.66
"2025-03-10 17:16:23,345",COIN,179.50
"2025-03-10 17:16:23,346",TSLA,218.58
"2025-03-10 17:16:24,346",TSLA,218.60
"2025-03-10 17:16:25,099",QQQ,471.70
"2025-03-10 17:16:25,348",COIN,179.46
"2025-03-10 17:16:30,605",QQQ,471.71
"2025-03-10 17:16:30,856",TSLA,218.55
"2025-03-10 17:16:31,107",QQQ,471.72
"2025-03-10 17:16:32,358",TSLA,218.64
"2025-03-10 17:16:32,858",TSLA,218.61
"2025-03-10 17:16:37,114",TSLA,218.62
"2025-03-10 17:16:37,616",AAPL,225.88
"2025-03-10 17:16:38,116",TSLA,218.64
